Symptoms,Part,Medicine
Opisthotonos,Generalities,Absinthium
Paralysis of inner organs,Generalities,Absinthium
Tipsy feeling,Head,Abies canadensis
Sensation as of a stye in outer canthus of left eye,Eyes,Abies canadensis
Dryness of the mouth,mouth,Abies canadensis
Craving for meat,appetite,Abies canadensis
A tendency to eat far beyond the capacity for digestion,appetite,Abies canadensis
Gnawing,appetite,Abies canadensis
Distension of the stomach,stomach ,Abies canadensis
Sick feeling in the bowles,abdomen,Abies canadensis
Rumbling in the bowels after eating,abdomen,Abies canadensis
Sensation as if the liver were small and hard,abdomen,Abies canadensis
Burning in rectum,Stool and Anus,Abies canadensis
constipation,Stool and Anus,Abies canadensis
Urine straw colored,Urinary Organs,Abies canadensis
Urinates frequently day and night,Urinary Organs,Abies canadensis
  Thinks the womb is soft and feeble,Female Sexual Organs,Abies canadensis
 Sore feeling at the fundus of uterus,Female Sexual Organs,Abies canadensis
 Breathing labored,Respiratory Organs,Abies canadensis
  Sensation as if the right lung were small and hard,Respiratory Organs,Abies canadensis
Increased action of the heart with distension of the stomach,heart,Abies canadensis
Action of the heart labored.heart,heart,Abies canadensis
Pain behind the right shoulder blade,neck and back,Abies canadensis
 Weak feeling in sacral region,neck and back,Abies canadensis
Feeling as of cold water between the shoulders.neck and back,neck and back,Abies canadensis
Great prostration,Generalities,Abies canadensis
  Skin cold and clammy.Generalities,Generalities,Abies canadensis
Lies with the legs drawn up,Generalities,Abies canadensis
Hands cold and shrunken,Generalities,Abies canadensis
Twitching of the muscles,Generalities,Abies canadensis
Very faint as if top of head were congested,Generalities,Abies canadensis
Gaping and drowsy, sleep,Abies canadensis
Great restlessness at night, sleep,Abies canadensis
Drowsy,mind,Alfalfa
stupid,mind,Alfalfa
Dull,mind,Alfalfa
gloomy and irritable,mind,Alfalfa
Pain in left side of head,head,Alfalfa
Violent headache,head,Alfalfa
Stuffed feeling in eustachian tube  at night,ears,Alfalfa
  Increased thirst,stomach,Alfalfa
Appetite impaired,stomach,Alfalfa
Much nibbling of food and craving of sweets,stomach,Alfalfa
 Flatulence with distention,abdomen,Alfalfa
flatulent pain along colon several hours after meals,abdomen,Alfalfa
Frequent loose,abdomen,Alfalfa
Chronic appendicitis.abdomen,abdomen,Alfalfa
 Kidneys inactive frequent urging to urinate,Urinary Organs,Alfalfa
 Increased elimination of urea,Urinary Organs,Alfalfa
Very low-spirited and melancholy,mind,Abies nigra
Nervousness,mind,Abies nigra
Unable to think or study,mind,Abies nigra
Bad feeling in head,head,Abies nigra
Dull headache severe,head,Abies nigra
Head hot with flushed cheeks,head,Abies nigra
Pain in left external meatus,ears,Abies nigra
 Choking sensation in throat,Throat,Abies nigra
  Sensation of something sticking in oesophagus toward its lower end,Throat,Abies nigra
  Hungry and wakeful at night,Appetite,Abies nigra
Total loss of appetite in the morning,Appetite,Abies nigra
Pain in the stomach always comes after eating,stomach,Abies nigra
 Painful sensation as if something were lodged in chest,stomach,Abies nigra
 Frequent eructations,stomach,Abies nigra
  Constipation,Stool and Anus,Abies nigra
   Menstruation delayed three months,Female Sexual Organs,Abies nigra
  Easily gets out of breath,Respiratory Organs,Abies nigra
Slow beating of heart,Heart,Abies nigra
  Pain in small of back.Back,Back,Abies nigra
Rheumatic pains,Generalities,Abies nigra
Alternate heat and cold,Generalities,Abies nigra
Sleepy during the day but wakeful and restless at night,Sleep,Abies nigra
Desire to lie down,Mind,Abies nigra
