Symptoms,Medicine
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected  tip finger peel ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected  tip finger peel  itching eruption axilla ,Elaps corallinus
fear rain ,Elaps corallinus
fear rain  fear apoplexy ,Elaps corallinus
fear rain  fear apoplexy  violent headache ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected  tip finger peel ,Elaps corallinus
fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger  cough terrible pain lung  worse right expectoration black blood  sensation sponge oesophagus  feel cold  desire sweetened buttermilk  acidity every mouthful  gland skin axilla affected  tip finger peel  itching eruption axilla ,Elaps corallinus
fear apoplexy ,Elaps corallinus
fear apoplexy  violent headache ,Elaps corallinus
fear apoplexy  violent headache  pain ear ,Elaps corallinus
fear apoplexy  violent headache  pain ear  vertigo tendency fall forward ,Elaps corallinus
fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead ,Elaps corallinus
fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head ,Elaps corallinus
fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light ,Elaps corallinus
fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye ,Elaps corallinus
